Timestamp,SessionId,UserName, AbsoluteUrl,Menu,Submenu
28/5/2024 4:07:22 PM,c32smauvpvih2axo4gkkyj5m,Aelita.Li,https://portal.incorp.asia/myportal/EmailHelpdesk/frmEhpdDashboardTickets,DashBoard,Dashboard
28/5/2024 4:07:29 PM,c32smauvpvih2axo4gkkyj5m,Aelita.Li,https://portal.incorp.asia/myportal/EmailHelpdesk/frmEhpdDashboardTickets/GetStaffName,DashBoard,Dashboard
28/5/2024 4:07:34 PM,c32smauvpvih2axo4gkkyj5m,Aelita.Li,https://portal.incorp.asia/myportal/Leave/LeaveCalendar,Leave Management,Leave Calendar
29/5/2024 9:29:59 AM,553wn2nddhr2i2h2kzt1j3bg,Aelita.Li,https://portal.incorp.asia/myportal/EmailHelpdesk/frmEhpdDashboardTickets,DashBoard,Dashboard
29/5/2024 9:30:07 AM,553wn2nddhr2i2h2kzt1j3bg,Aelita.Li,https://portal.incorp.asia/myportal/Leave/LeaveCalendar,Leave Management,Leave Calendar
29/5/2024 10:13:31 AM,553wn2nddhr2i2h2kzt1j3bg,Aelita.Li,https://portal.incorp.asia/myportal/Leave/LeaveCalendar,Leave Management,Leave Calendar
29/5/2024 10:13:34 AM,553wn2nddhr2i2h2kzt1j3bg,Aelita.Li,https://portal.incorp.asia/myportal/Leave/FrmLeaveRequest,Leave Management,Leave Request
29/5/2024 10:13:40 AM,553wn2nddhr2i2h2kzt1j3bg,Aelita.Li,https://portal.incorp.asia/myportal/Leave/FrmLeaveRequest,Leave Management,Leave Request
29/5/2024 10:13:46 AM,553wn2nddhr2i2h2kzt1j3bg,Aelita.Li,https://portal.incorp.asia/myportal/Leave/FrmLeaveRequest,Leave Management,Leave Request
29/5/2024 10:13:49 AM,553wn2nddhr2i2h2kzt1j3bg,Aelita.Li,https://portal.incorp.asia/myportal/Leave/FrmLeaveRequest,Leave Management,Leave Request
29/5/2024 10:19:19 AM,553wn2nddhr2i2h2kzt1j3bg,Aelita.Li,https://portal.incorp.asia/myportal/Leave/FrmLeaveRequest,Leave Management,Leave Request
29/5/2024 10:19:24 AM,553wn2nddhr2i2h2kzt1j3bg,Aelita.Li,https://portal.incorp.asia/myportal/Leave/FrmLeaveRequest,Leave Management,Leave Request
29/5/2024 10:22:18 AM,553wn2nddhr2i2h2kzt1j3bg,Aelita.Li,https://portal.incorp.asia/myportal/Leave/LeaveCalendar,Leave Management,Leave Calendar
29/5/2024 10:23:07 AM,553wn2nddhr2i2h2kzt1j3bg,Aelita.Li,https://portal.incorp.asia/myportal/Leave/FrmLeaveRequest,Leave Management,Leave Request
29/5/2024 10:23:11 AM,553wn2nddhr2i2h2kzt1j3bg,Aelita.Li,https://portal.incorp.asia/myportal/Leave/FrmLeaveRequest,Leave Management,Leave Request
29/5/2024 10:23:15 AM,553wn2nddhr2i2h2kzt1j3bg,Aelita.Li,https://portal.incorp.asia/myportal/Leave/FrmLeaveRequest,Leave Management,Leave Request
29/5/2024 10:23:17 AM,553wn2nddhr2i2h2kzt1j3bg,Aelita.Li,https://portal.incorp.asia/myportal/Leave/FrmLeaveRequest,Leave Management,Leave Request
