Timestamp,SessionId,UserName, AbsoluteUrl,Menu,Submenu
28/5/2024 12:23:00 PM,h4yxhk3g1jal1iy55oodgpvs,Asrianusharianto,https://portal.incorp.asia/myportal/EmailHelpdesk/frmEhpdDashboardTickets,DashBoard,Dashboard
28/5/2024 12:23:06 PM,h4yxhk3g1jal1iy55oodgpvs,Asrianusharianto,https://portal.incorp.asia/myportal/EmailHelpdesk/frmEhpdDashboardTickets/GetStaffName,DashBoard,Dashboard
28/5/2024 12:23:11 PM,h4yxhk3g1jal1iy55oodgpvs,Asrianusharianto,https://portal.incorp.asia/myportal/MYOB/frmMYOBSaleOrderRegister?sales_type=3&ScreenId=1,Accounting Module,Sales Order
28/5/2024 12:23:21 PM,h4yxhk3g1jal1iy55oodgpvs,Asrianusharianto,https://portal.incorp.asia/myportal/MYOB/frmMYOBSaleOrderRegister?sales_type=3&ScreenId=1,Accounting Module,Sales Order
28/5/2024 12:27:13 PM,h4yxhk3g1jal1iy55oodgpvs,Asrianusharianto,https://portal.incorp.asia/myportal/MYOB/frmMYOBSaleOrderRegister,Accounting Module,Sales Order
28/5/2024 12:27:23 PM,h4yxhk3g1jal1iy55oodgpvs,Asrianusharianto,https://portal.incorp.asia/myportal/MYOB/frmMYOBSaleOrderRegister,Accounting Module,Sales Order
28/5/2024 4:30:43 PM,h4yxhk3g1jal1iy55oodgpvs,Asrianusharianto,https://portal.incorp.asia/myportal/MYOB/frmMYOBSaleOrderRegister,Accounting Module,Sales Order
28/5/2024 4:36:55 PM,h4yxhk3g1jal1iy55oodgpvs,Asrianusharianto,https://portal.incorp.asia/myportal/MYOB/frmMYOBSaleOrderRegister,Accounting Module,Sales Order
28/5/2024 4:37:08 PM,h4yxhk3g1jal1iy55oodgpvs,Asrianusharianto,https://portal.incorp.asia/myportal/MYOB/frmMYOBSaleOrderRegister,Accounting Module,Sales Order
28/5/2024 6:07:42 PM,h4yxhk3g1jal1iy55oodgpvs,Asrianusharianto,https://portal.incorp.asia/myportal/MYOB/frmMYOBSaleOrderRegister,Accounting Module,Sales Order
28/5/2024 6:10:31 PM,h4yxhk3g1jal1iy55oodgpvs,Asrianusharianto,https://portal.incorp.asia/myportal/MYOB/frmMYOBSaleOrderRegister,Accounting Module,Sales Order
28/5/2024 6:10:56 PM,h4yxhk3g1jal1iy55oodgpvs,Asrianusharianto,https://portal.incorp.asia/myportal/MYOB/frmMYOBSaleOrderRegister,Accounting Module,Sales Order
29/5/2024 12:40:36 PM,kz5dy35xjz1stsrwcvnlyq1c,Asrianusharianto,https://portal.incorp.asia/myportal/EmailHelpdesk/frmEhpdDashboardTickets,DashBoard,Dashboard
29/5/2024 12:40:42 PM,kz5dy35xjz1stsrwcvnlyq1c,Asrianusharianto,https://portal.incorp.asia/myportal/EmailHelpdesk/frmEhpdDashboardTickets/GetStaffName,DashBoard,Dashboard
29/5/2024 12:40:47 PM,kz5dy35xjz1stsrwcvnlyq1c,Asrianusharianto,https://portal.incorp.asia/myportal/MYOB/frmMYOBSaleOrderRegister?sales_type=3&ScreenId=1,Accounting Module,Sales Order
29/5/2024 12:40:54 PM,kz5dy35xjz1stsrwcvnlyq1c,Asrianusharianto,https://portal.incorp.asia/myportal/MYOB/frmMYOBSaleOrderRegister?sales_type=3&ScreenId=1,Accounting Module,Sales Order
29/5/2024 12:47:35 PM,kz5dy35xjz1stsrwcvnlyq1c,Asrianusharianto,https://portal.incorp.asia/myportal/MYOB/frmMYOBSaleOrderRegister?sales_type=3&ScreenId=1,Accounting Module,Sales Order
29/5/2024 12:47:52 PM,kz5dy35xjz1stsrwcvnlyq1c,Asrianusharianto,https://portal.incorp.asia/myportal/MYOB/frmMYOBSaleOrderRegister?sales_type=3&ScreenId=1,Accounting Module,Sales Order
29/5/2024 12:48:45 PM,kz5dy35xjz1stsrwcvnlyq1c,Asrianusharianto,https://portal.incorp.asia/myportal/MYOB/frmMYOBSaleOrderRegister,Accounting Module,Sales Order
3/6/2024 11:17:40 AM,bkckqb1cbefwd023f5fvihym,Asrianusharianto,https://portal.incorp.asia/myportal/EmailHelpdesk/frmEhpdDashboardTickets,DashBoard,Dashboard
3/6/2024 11:17:46 AM,bkckqb1cbefwd023f5fvihym,Asrianusharianto,https://portal.incorp.asia/myportal/EmailHelpdesk/frmEhpdDashboardTickets/GetStaffName,DashBoard,Dashboard
3/6/2024 11:18:02 AM,bkckqb1cbefwd023f5fvihym,Asrianusharianto,https://portal.incorp.asia/myportal/MYOB/frmMYOBSaleOrderRegister?sales_type=3&ScreenId=1,Accounting Module,Sales Order
3/6/2024 11:18:45 AM,bkckqb1cbefwd023f5fvihym,Asrianusharianto,https://portal.incorp.asia/myportal/MYOB/frmMYOBSaleOrderRegister?sales_type=3&ScreenId=1,Accounting Module,Sales Order
3/6/2024 11:35:56 AM,bkckqb1cbefwd023f5fvihym,Asrianusharianto,https://portal.incorp.asia/myportal/MYOB/frmMYOBSaleOrderRegister,Accounting Module,Sales Order
3/6/2024 11:36:13 AM,bkckqb1cbefwd023f5fvihym,Asrianusharianto,https://portal.incorp.asia/myportal/MYOB/frmMYOBSaleOrderRegister,Accounting Module,Sales Order
3/6/2024 12:01:11 PM,bkckqb1cbefwd023f5fvihym,Asrianusharianto,https://portal.incorp.asia/myportal/MYOB/frmMYOBSaleOrderRegister,Accounting Module,Sales Order
3/6/2024 12:05:48 PM,bkckqb1cbefwd023f5fvihym,Asrianusharianto,https://portal.incorp.asia/myportal/MYOB/frmMYOBSaleOrderRegister,Accounting Module,Sales Order
3/6/2024 12:06:04 PM,bkckqb1cbefwd023f5fvihym,Asrianusharianto,https://portal.incorp.asia/myportal/MYOB/frmMYOBSaleOrderRegister,Accounting Module,Sales Order
4/6/2024 10:32:19 AM,oh2oa1sgt1slyimvh3mmkjux,Asrianusharianto,https://portal.incorp.asia/myportal/EmailHelpdesk/frmEhpdDashboardTickets,DashBoard,Dashboard
4/6/2024 10:32:25 AM,oh2oa1sgt1slyimvh3mmkjux,Asrianusharianto,https://portal.incorp.asia/myportal/EmailHelpdesk/frmEhpdDashboardTickets/GetStaffName,DashBoard,Dashboard
4/6/2024 10:32:39 AM,oh2oa1sgt1slyimvh3mmkjux,Asrianusharianto,https://portal.incorp.asia/myportal/MYOB/frmMYOBSaleOrderRegister?sales_type=3&ScreenId=1,Accounting Module,Sales Order
4/6/2024 10:32:57 AM,oh2oa1sgt1slyimvh3mmkjux,Asrianusharianto,https://portal.incorp.asia/myportal/MYOB/frmMYOBSaleOrderRegister?sales_type=3&ScreenId=1,Accounting Module,Sales Order
4/6/2024 10:33:13 AM,oh2oa1sgt1slyimvh3mmkjux,Asrianusharianto,https://portal.incorp.asia/myportal/MYOB/frmMYOBSaleOrderRegister?sales_type=3&ScreenId=1,Accounting Module,Sales Order
4/6/2024 10:33:45 AM,oh2oa1sgt1slyimvh3mmkjux,Asrianusharianto,https://portal.incorp.asia/myportal/MYOB/frmMYOBSaleOrderRegister?sales_type=3&ScreenId=1,Accounting Module,Sales Order
4/6/2024 10:39:05 AM,oh2oa1sgt1slyimvh3mmkjux,Asrianusharianto,https://portal.incorp.asia/myportal/MYOB/frmMYOBSaleOrderRegister,Accounting Module,Sales Order
4/6/2024 10:39:19 AM,oh2oa1sgt1slyimvh3mmkjux,Asrianusharianto,https://portal.incorp.asia/myportal/MYOB/frmMYOBSaleOrderRegister,Accounting Module,Sales Order
4/6/2024 10:39:44 AM,oh2oa1sgt1slyimvh3mmkjux,Asrianusharianto,https://portal.incorp.asia/myportal/MYOB/frmMYOBSaleOrderRegister,Accounting Module,Sales Order
6/6/2024 3:02:56 PM,hmeimc2eeg15ijhl2dqzlbkq,Asrianusharianto,https://portal.incorp.asia/myportal/EmailHelpdesk/frmEhpdDashboardTickets,DashBoard,Dashboard
6/6/2024 3:03:02 PM,hmeimc2eeg15ijhl2dqzlbkq,Asrianusharianto,https://portal.incorp.asia/myportal/EmailHelpdesk/frmEhpdDashboardTickets/GetStaffName,DashBoard,Dashboard
6/6/2024 3:03:25 PM,hmeimc2eeg15ijhl2dqzlbkq,Asrianusharianto,https://portal.incorp.asia/myportal/MYOB/frmMYOBSaleOrderRegister?sales_type=3&ScreenId=1,Accounting Module,Sales Order
6/6/2024 3:03:32 PM,hmeimc2eeg15ijhl2dqzlbkq,Asrianusharianto,https://portal.incorp.asia/myportal/MYOB/frmMYOBSaleOrderRegister?sales_type=3&ScreenId=1,Accounting Module,Sales Order
6/6/2024 4:38:22 PM,hmeimc2eeg15ijhl2dqzlbkq,Asrianusharianto,https://portal.incorp.asia/myportal/MYOB/frmMYOBSaleOrderRegister?sales_type=3&ScreenId=1,Accounting Module,Sales Order
6/6/2024 4:38:25 PM,hmeimc2eeg15ijhl2dqzlbkq,Asrianusharianto,https://portal.incorp.asia/myportal/MYOB/frmMYOBSaleOrderRegister?sales_type=3&ScreenId=1,Accounting Module,Sales Order
6/6/2024 4:38:37 PM,hmeimc2eeg15ijhl2dqzlbkq,Asrianusharianto,https://portal.incorp.asia/myportal/MYOB/frmMYOBSaleOrderRegister?sales_type=3&ScreenId=1,Accounting Module,Sales Order
6/6/2024 4:41:42 PM,hmeimc2eeg15ijhl2dqzlbkq,Asrianusharianto,https://portal.incorp.asia/myportal/MYOB/frmMYOBSaleOrderRegister?sales_type=3&ScreenId=1,Accounting Module,Sales Order
