Timestamp,SessionId,UserName, AbsoluteUrl,Menu,Submenu
28/5/2024 10:20:54 AM,zobim05mnhttzsxvx3n1o4ep,Jaibarra,https://portal.incorp.asia/myportal/EmailHelpdesk/frmEhpdDashboardTickets,DashBoard,Dashboard
28/5/2024 10:22:17 AM,zobim05mnhttzsxvx3n1o4ep,Jaibarra,https://portal.incorp.asia/myportal/EmailHelpdesk/frmEhpdDashboardTickets/GetStaffName,DashBoard,Dashboard
28/5/2024 10:29:48 AM,zobim05mnhttzsxvx3n1o4ep,Jaibarra,https://portal.incorp.asia/myportal/MYOB/frmMYOBRefundAdjustmentRegister,Accounting Module,Credit Note
28/5/2024 10:30:01 AM,zobim05mnhttzsxvx3n1o4ep,Jaibarra,https://portal.incorp.asia/myportal/MYOB/frmMYOBRefundAdjustmentRegister,Accounting Module,Credit Note
28/5/2024 10:46:22 AM,zobim05mnhttzsxvx3n1o4ep,Jaibarra,https://portal.incorp.asia/myportal/MYOB/frmMYOBRefundAdjustmentRegister,Accounting Module,Credit Note
28/5/2024 3:03:20 PM,zobim05mnhttzsxvx3n1o4ep,Jaibarra,https://portal.incorp.asia/myportal/EmailHelpdesk/frmEhpdDashboardTickets,DashBoard,Dashboard
28/5/2024 3:03:25 PM,zobim05mnhttzsxvx3n1o4ep,Jaibarra,https://portal.incorp.asia/myportal/CompanyModule/frmCmpCompanyDirectory,Corporate Secretary,Company Details
28/5/2024 3:03:56 PM,zobim05mnhttzsxvx3n1o4ep,Jaibarra,https://portal.incorp.asia/myportal/CompanyModule/frmCmpCompanyDirectory,Corporate Secretary,Company Details
28/5/2024 3:04:04 PM,zobim05mnhttzsxvx3n1o4ep,Jaibarra,https://portal.incorp.asia/myportal/CompanyModule/frmCmpCompanyDirectory,Corporate Secretary,Company Details
28/5/2024 3:04:34 PM,zobim05mnhttzsxvx3n1o4ep,Jaibarra,https://portal.incorp.asia/myportal/CompanyModule/frmCmpCompanyDirectory,Corporate Secretary,Company Details
28/5/2024 3:05:04 PM,zobim05mnhttzsxvx3n1o4ep,Jaibarra,https://portal.incorp.asia/myportal/CompanyModule/frmCmpCompanyDirectory,Corporate Secretary,Company Details
29/5/2024 7:35:52 AM,ywsok3akvztw5ib4f33vsuzu,Jaibarra,https://portal.incorp.asia/myportal/EmailHelpdesk/frmEhpdDashboardTickets,DashBoard,Dashboard
29/5/2024 7:35:59 AM,ywsok3akvztw5ib4f33vsuzu,Jaibarra,https://portal.incorp.asia/myportal/EmailHelpdesk/frmEhpdDashboardTickets/GetStaffName,DashBoard,Dashboard
29/5/2024 7:39:37 AM,ywsok3akvztw5ib4f33vsuzu,Jaibarra,https://portal.incorp.asia/myportal/CompanyModule/frmCmpCompanyDirectory,Corporate Secretary,Company Details
29/5/2024 7:39:45 AM,ywsok3akvztw5ib4f33vsuzu,Jaibarra,https://portal.incorp.asia/myportal/CompanyModule/frmCmpCompanyDirectory,Corporate Secretary,Company Details
29/5/2024 7:39:57 AM,ywsok3akvztw5ib4f33vsuzu,Jaibarra,https://portal.incorp.asia/myportal/CompanyModule/frmCmpCompanyDirectory,Corporate Secretary,Company Details
