Timestamp,SessionId,UserName, AbsoluteUrl,Menu,Submenu
28/5/2024 10:02:46 AM,5jvs0kkafuv5sr1naidikum5,Joelsi,https://portal.incorp.asia/myportal/EmailHelpdesk/frmEhpdDashboardTickets,DashBoard,Dashboard
28/5/2024 10:02:51 AM,5jvs0kkafuv5sr1naidikum5,Joelsi,https://portal.incorp.asia/myportal/EmailHelpdesk/frmEhpdDashboardTickets/GetStaffName,DashBoard,Dashboard
28/5/2024 10:03:04 AM,5jvs0kkafuv5sr1naidikum5,Joelsi,https://portal.incorp.asia/myportal/EmailHelpdesk/frmEhpdDashboardTickets,DashBoard,Dashboard
28/5/2024 10:05:37 AM,5jvs0kkafuv5sr1naidikum5,Joelsi,https://portal.incorp.asia/myportal/EmailHelpdesk/frmEhpdDashboardTickets,DashBoard,Dashboard
28/5/2024 10:19:19 AM,5jvs0kkafuv5sr1naidikum5,Joelsi,https://portal.incorp.asia/myportal/CRMModule/frmCRMMain,Corporate Secretary,CRM Module
28/5/2024 10:19:23 AM,5jvs0kkafuv5sr1naidikum5,Joelsi,https://portal.incorp.asia/myportal/CRMModule/frmCRMMain,Corporate Secretary,CRM Module
28/5/2024 10:19:24 AM,5jvs0kkafuv5sr1naidikum5,Joelsi,https://portal.incorp.asia/myportal/CRMModule/frmCRMMain,Corporate Secretary,CRM Module
28/5/2024 10:19:26 AM,5jvs0kkafuv5sr1naidikum5,Joelsi,https://portal.incorp.asia/myportal/CRMModule/frmCRMMain,Corporate Secretary,CRM Module
28/5/2024 10:20:43 AM,5jvs0kkafuv5sr1naidikum5,Joelsi,https://portal.incorp.asia/myportal/CRMModule/frmCRMMain,Corporate Secretary,CRM Module
28/5/2024 10:20:45 AM,5jvs0kkafuv5sr1naidikum5,Joelsi,https://portal.incorp.asia/myportal/CRMModule/frmCRMMain,Corporate Secretary,CRM Module
28/5/2024 10:20:47 AM,5jvs0kkafuv5sr1naidikum5,Joelsi,https://portal.incorp.asia/myportal/CRMModule/frmCRMMain,Corporate Secretary,CRM Module
28/5/2024 10:20:49 AM,5jvs0kkafuv5sr1naidikum5,Joelsi,https://portal.incorp.asia/myportal/CRMModule/frmCRMMain,Corporate Secretary,CRM Module
28/5/2024 10:20:50 AM,5jvs0kkafuv5sr1naidikum5,Joelsi,https://portal.incorp.asia/myportal/CRMModule/frmCRMMain,Corporate Secretary,CRM Module
28/5/2024 10:20:54 AM,5jvs0kkafuv5sr1naidikum5,Joelsi,https://portal.incorp.asia/myportal/CRMModule/frmCRMMain,Corporate Secretary,CRM Module
28/5/2024 10:20:56 AM,5jvs0kkafuv5sr1naidikum5,Joelsi,https://portal.incorp.asia/myportal/CRMModule/frmCRMMain,Corporate Secretary,CRM Module
28/5/2024 10:22:34 AM,5jvs0kkafuv5sr1naidikum5,Joelsi,https://portal.incorp.asia/myportal/CRMModule/frmCRMMain,Corporate Secretary,CRM Module
28/5/2024 10:23:42 AM,5jvs0kkafuv5sr1naidikum5,Joelsi,https://portal.incorp.asia/myportal/CRMModule/frmCRMMain,Corporate Secretary,CRM Module
28/5/2024 10:23:45 AM,5jvs0kkafuv5sr1naidikum5,Joelsi,https://portal.incorp.asia/myportal/CRMModule/frmCRMMain,Corporate Secretary,CRM Module
28/5/2024 10:23:50 AM,5jvs0kkafuv5sr1naidikum5,Joelsi,https://portal.incorp.asia/myportal/CRMModule/frmCRMMain,Corporate Secretary,CRM Module
28/5/2024 10:28:45 AM,5jvs0kkafuv5sr1naidikum5,Joelsi,https://portal.incorp.asia/myportal/EmailHelpdesk/frmEhpdDashboardTickets,DashBoard,Dashboard
28/5/2024 10:40:51 AM,5jvs0kkafuv5sr1naidikum5,Joelsi,https://portal.incorp.asia/myportal/CRMModule/frmCRMMain,Corporate Secretary,CRM Module
28/5/2024 10:40:53 AM,5jvs0kkafuv5sr1naidikum5,Joelsi,https://portal.incorp.asia/myportal/CRMModule/frmCRMMain,Corporate Secretary,CRM Module
28/5/2024 10:40:59 AM,5jvs0kkafuv5sr1naidikum5,Joelsi,https://portal.incorp.asia/myportal/CRMModule/frmCRMMain,Corporate Secretary,CRM Module
28/5/2024 10:45:48 AM,5jvs0kkafuv5sr1naidikum5,Joelsi,https://portal.incorp.asia/myportal/CRMModule/frmCRMMain,Corporate Secretary,CRM Module
28/5/2024 10:45:50 AM,5jvs0kkafuv5sr1naidikum5,Joelsi,https://portal.incorp.asia/myportal/CRMModule/frmCRMMain,Corporate Secretary,CRM Module
28/5/2024 10:45:52 AM,5jvs0kkafuv5sr1naidikum5,Joelsi,https://portal.incorp.asia/myportal/CRMModule/frmCRMMain,Corporate Secretary,CRM Module
28/5/2024 10:48:21 AM,5jvs0kkafuv5sr1naidikum5,Joelsi,https://portal.incorp.asia/myportal/CRMModule/frmCRMMain,Corporate Secretary,CRM Module
28/5/2024 10:49:32 AM,5jvs0kkafuv5sr1naidikum5,Joelsi,https://portal.incorp.asia/myportal/CRMModule/frmCRMMain,Corporate Secretary,CRM Module
28/5/2024 10:57:37 AM,5jvs0kkafuv5sr1naidikum5,Joelsi,https://portal.incorp.asia/myportal/EmailHelpdesk/frmEhpdDashboardTickets,DashBoard,Dashboard
28/5/2024 10:57:52 AM,5jvs0kkafuv5sr1naidikum5,Joelsi,https://portal.incorp.asia/myportal/EmailHelpdesk/frmEhpdDashboardTickets,DashBoard,Dashboard
28/5/2024 10:58:14 AM,5jvs0kkafuv5sr1naidikum5,Joelsi,https://portal.incorp.asia/myportal/Helpdesk/frmHpdStaffDirectory,Knowledge Base,Staff Directory
28/5/2024 11:08:15 AM,5jvs0kkafuv5sr1naidikum5,Joelsi,https://portal.incorp.asia/myportal/EmailHelpdesk/frmEhpdDashboardTickets,DashBoard,Dashboard
28/5/2024 11:27:23 AM,5jvs0kkafuv5sr1naidikum5,Joelsi,https://portal.incorp.asia/myportal/CRMModule/frmCRMMain,Corporate Secretary,CRM Module
28/5/2024 11:27:25 AM,5jvs0kkafuv5sr1naidikum5,Joelsi,https://portal.incorp.asia/myportal/CRMModule/frmCRMMain,Corporate Secretary,CRM Module
28/5/2024 11:27:28 AM,5jvs0kkafuv5sr1naidikum5,Joelsi,https://portal.incorp.asia/myportal/CRMModule/frmCRMMain,Corporate Secretary,CRM Module
28/5/2024 11:27:31 AM,5jvs0kkafuv5sr1naidikum5,Joelsi,https://portal.incorp.asia/myportal/CRMModule/frmCRMMain,Corporate Secretary,CRM Module
28/5/2024 11:31:07 AM,5jvs0kkafuv5sr1naidikum5,Joelsi,https://portal.incorp.asia/myportal/CRMModule/frmCRMMain,Corporate Secretary,CRM Module
28/5/2024 11:31:09 AM,5jvs0kkafuv5sr1naidikum5,Joelsi,https://portal.incorp.asia/myportal/CRMModule/frmCRMMain,Corporate Secretary,CRM Module
28/5/2024 11:32:50 AM,5jvs0kkafuv5sr1naidikum5,Joelsi,https://portal.incorp.asia/myportal/HelpdeskTickets/FrmHpdTicketDirectory?TicketCategoryId=56,Accounting Module,Tax Support Emails
28/5/2024 11:32:58 AM,5jvs0kkafuv5sr1naidikum5,Joelsi,https://portal.incorp.asia/myportal/HelpdeskTickets/FrmHpdTicketDirectory?TicketCategoryId=56,Accounting Module,Tax Support Emails
28/5/2024 11:33:50 AM,5jvs0kkafuv5sr1naidikum5,Joelsi,https://portal.incorp.asia/myportal/HelpdeskMailSupport/frmHpdReceivingMailRegister,Mail Support,Receiving Mails
28/5/2024 11:33:52 AM,5jvs0kkafuv5sr1naidikum5,Joelsi,https://portal.incorp.asia/myportal/EmailHelpdesk/frmEhpdTicketFollowup?EmailHelpdesk_category_id=9,Mail Support,MailSupport Tickets Followup
28/5/2024 11:34:13 AM,5jvs0kkafuv5sr1naidikum5,Joelsi,https://portal.incorp.asia/myportal/HelpdeskTickets/FrmHpdTicketDirectory?TicketCategoryId=32,InCorp Tickets,CS1 Support
