Timestamp,SessionId,UserName, AbsoluteUrl,Menu,Submenu
4/6/2024 11:56:08 AM,zekbhubje4moix2gxoyjbpfm,Jonalynmacahig,https://portal.incorp.asia/myportal/EmailHelpdesk/frmEhpdDashboardTickets,DashBoard,Dashboard
4/6/2024 11:56:16 AM,zekbhubje4moix2gxoyjbpfm,Jonalynmacahig,https://portal.incorp.asia/myportal/EmailHelpdesk/frmEhpdDashboardTickets/GetStaffName,DashBoard,Dashboard
4/6/2024 11:56:25 AM,zekbhubje4moix2gxoyjbpfm,Jonalynmacahig,https://portal.incorp.asia/myportal/EmailHelpdesk/frmEhpdDashboardTickets/GetStaffName,DashBoard,Dashboard
4/6/2024 11:56:29 AM,zekbhubje4moix2gxoyjbpfm,Jonalynmacahig,https://portal.incorp.asia/myportal/CRMModule/frmCRMMain,Corporate Secretary,CRM Module
4/6/2024 11:56:31 AM,zekbhubje4moix2gxoyjbpfm,Jonalynmacahig,https://portal.incorp.asia/myportal/CRMModule/frmCRMMain,Corporate Secretary,CRM Module
4/6/2024 11:56:39 AM,zekbhubje4moix2gxoyjbpfm,Jonalynmacahig,https://portal.incorp.asia/myportal/CRMModule/frmCRMMain,Corporate Secretary,CRM Module
4/6/2024 11:56:40 AM,zekbhubje4moix2gxoyjbpfm,Jonalynmacahig,https://portal.incorp.asia/myportal/CRMModule/frmCRMMain,Corporate Secretary,CRM Module
4/6/2024 11:56:42 AM,zekbhubje4moix2gxoyjbpfm,Jonalynmacahig,https://portal.incorp.asia/myportal/CRMModule/frmCRMMain,Corporate Secretary,CRM Module
4/6/2024 11:57:01 AM,zekbhubje4moix2gxoyjbpfm,Jonalynmacahig,https://portal.incorp.asia/myportal/CRMModule/frmCRMMain,Corporate Secretary,CRM Module
4/6/2024 12:01:32 PM,zekbhubje4moix2gxoyjbpfm,Jonalynmacahig,https://portal.incorp.asia/myportal/CRMModule/frmCRMMain,Corporate Secretary,CRM Module
4/6/2024 12:01:34 PM,zekbhubje4moix2gxoyjbpfm,Jonalynmacahig,https://portal.incorp.asia/myportal/CRMModule/frmCRMMain,Corporate Secretary,CRM Module
4/6/2024 12:01:35 PM,zekbhubje4moix2gxoyjbpfm,Jonalynmacahig,https://portal.incorp.asia/myportal/CRMModule/frmCRMMain,Corporate Secretary,CRM Module
4/6/2024 12:01:39 PM,zekbhubje4moix2gxoyjbpfm,Jonalynmacahig,https://portal.incorp.asia/myportal/CRMModule/frmCRMMain,Corporate Secretary,CRM Module
4/6/2024 12:01:52 PM,zekbhubje4moix2gxoyjbpfm,Jonalynmacahig,https://portal.incorp.asia/myportal/CRMModule/frmCRMMain,Corporate Secretary,CRM Module
4/6/2024 12:18:43 PM,zekbhubje4moix2gxoyjbpfm,Jonalynmacahig,https://portal.incorp.asia/myportal/CRMModule/frmCRMMain,Corporate Secretary,CRM Module
4/6/2024 12:18:44 PM,zekbhubje4moix2gxoyjbpfm,Jonalynmacahig,https://portal.incorp.asia/myportal/CRMModule/frmCRMMain,Corporate Secretary,CRM Module
4/6/2024 12:18:46 PM,zekbhubje4moix2gxoyjbpfm,Jonalynmacahig,https://portal.incorp.asia/myportal/CRMModule/frmCRMMain,Corporate Secretary,CRM Module
