Timestamp,SessionId,UserName, AbsoluteUrl,Menu,Submenu
28/5/2024 9:28:19 AM,wqkhku1dmj4bppunzcl0iun5,Puiyeeyap,https://portal.incorp.asia/myportal/EmailHelpdesk/frmEhpdDashboardTickets,DashBoard,Dashboard
28/5/2024 9:28:25 AM,wqkhku1dmj4bppunzcl0iun5,Puiyeeyap,https://portal.incorp.asia/myportal/EmailHelpdesk/frmEhpdDashboardTickets/GetStaffName,DashBoard,Dashboard
28/5/2024 10:48:19 AM,wqkhku1dmj4bppunzcl0iun5,Puiyeeyap,https://portal.incorp.asia/myportal/EmailHelpdesk/frmEhpdDashboardTickets/GetStaffName,DashBoard,Dashboard
28/5/2024 10:48:23 AM,wqkhku1dmj4bppunzcl0iun5,Puiyeeyap,https://portal.incorp.asia/myportal/CRMModule/frmCRMMain,Corporate Secretary,CRM Module
28/5/2024 10:48:26 AM,wqkhku1dmj4bppunzcl0iun5,Puiyeeyap,https://portal.incorp.asia/myportal/MYOB/frmMYOBSaleOrderRegister?sales_type=3&ScreenId=1,Accounting Module,Sales Order
28/5/2024 10:48:29 AM,wqkhku1dmj4bppunzcl0iun5,Puiyeeyap,https://portal.incorp.asia/myportal/CRMModule/frmCRMMain,Corporate Secretary,CRM Module
28/5/2024 10:48:30 AM,wqkhku1dmj4bppunzcl0iun5,Puiyeeyap,https://portal.incorp.asia/myportal/CRMModule/frmCRMMain,Corporate Secretary,CRM Module
28/5/2024 10:48:31 AM,wqkhku1dmj4bppunzcl0iun5,Puiyeeyap,https://portal.incorp.asia/myportal/CRMModule/frmCRMMain,Corporate Secretary,CRM Module
28/5/2024 10:48:32 AM,wqkhku1dmj4bppunzcl0iun5,Puiyeeyap,https://portal.incorp.asia/myportal/CRMModule/frmCRMMain,Corporate Secretary,CRM Module
28/5/2024 10:48:44 AM,wqkhku1dmj4bppunzcl0iun5,Puiyeeyap,https://portal.incorp.asia/myportal/MYOB/frmMYOBSaleOrderRegister?sales_type=3&ScreenId=1,Accounting Module,Sales Order
28/5/2024 10:49:18 AM,wqkhku1dmj4bppunzcl0iun5,Puiyeeyap,https://portal.incorp.asia/myportal/MYOB/frmMYOBSaleOrderRegister,Accounting Module,Sales Order
28/5/2024 10:49:25 AM,wqkhku1dmj4bppunzcl0iun5,Puiyeeyap,https://portal.incorp.asia/myportal/MYOB/frmMYOBSaleOrderRegister,Accounting Module,Sales Order
28/5/2024 10:49:32 AM,wqkhku1dmj4bppunzcl0iun5,Puiyeeyap,https://portal.incorp.asia/myportal/MYOB/frmMyobSalesRegister,Accounting Module,Sales Invoice
28/5/2024 10:49:34 AM,wqkhku1dmj4bppunzcl0iun5,Puiyeeyap,https://portal.incorp.asia/myportal/MYOB/frmMyobSalesRegister,Accounting Module,Sales Invoice
28/5/2024 10:52:33 AM,wqkhku1dmj4bppunzcl0iun5,Puiyeeyap,https://portal.incorp.asia/myportal/MYOB/frmMYOBSaleOrderRegister?sales_type=3&ScreenId=1,Accounting Module,Sales Order
28/5/2024 10:52:39 AM,wqkhku1dmj4bppunzcl0iun5,Puiyeeyap,https://portal.incorp.asia/myportal/MYOB/frmMYOBSaleOrderRegister?sales_type=3&ScreenId=1,Accounting Module,Sales Order
28/5/2024 10:53:30 AM,wqkhku1dmj4bppunzcl0iun5,Puiyeeyap,https://portal.incorp.asia/myportal/CRMModule/frmCRMMain,Corporate Secretary,CRM Module
28/5/2024 10:53:33 AM,wqkhku1dmj4bppunzcl0iun5,Puiyeeyap,https://portal.incorp.asia/myportal/CRMModule/frmCRMMain,Corporate Secretary,CRM Module
28/5/2024 10:58:54 AM,wqkhku1dmj4bppunzcl0iun5,Puiyeeyap,https://portal.incorp.asia/myportal/MYOB/frmMYOBSaleOrderRegister,Accounting Module,Sales Order
28/5/2024 11:00:43 AM,wqkhku1dmj4bppunzcl0iun5,Puiyeeyap,https://portal.incorp.asia/myportal/MYOB/frmMYOBSaleOrderRegister,Accounting Module,Sales Order
28/5/2024 11:01:28 AM,wqkhku1dmj4bppunzcl0iun5,Puiyeeyap,https://portal.incorp.asia/myportal/CRMModule/frmCRMMain,Corporate Secretary,CRM Module
28/5/2024 11:01:30 AM,wqkhku1dmj4bppunzcl0iun5,Puiyeeyap,https://portal.incorp.asia/myportal/CRMModule/frmCRMMain,Corporate Secretary,CRM Module
28/5/2024 11:01:37 AM,wqkhku1dmj4bppunzcl0iun5,Puiyeeyap,https://portal.incorp.asia/myportal/MYOB/frmMyobSalesRegister,Accounting Module,Sales Invoice
28/5/2024 11:02:17 AM,wqkhku1dmj4bppunzcl0iun5,Puiyeeyap,https://portal.incorp.asia/myportal/CRMModule/frmCRMMain,Corporate Secretary,CRM Module
28/5/2024 11:02:20 AM,wqkhku1dmj4bppunzcl0iun5,Puiyeeyap,https://portal.incorp.asia/myportal/CRMModule/frmCRMMain,Corporate Secretary,CRM Module
28/5/2024 11:02:50 AM,wqkhku1dmj4bppunzcl0iun5,Puiyeeyap,https://portal.incorp.asia/myportal/CRMModule/frmCRMMain,Corporate Secretary,CRM Module
28/5/2024 11:02:54 AM,wqkhku1dmj4bppunzcl0iun5,Puiyeeyap,https://portal.incorp.asia/myportal/CRMModule/frmCRMMain,Corporate Secretary,CRM Module
28/5/2024 4:21:14 PM,wqkhku1dmj4bppunzcl0iun5,Puiyeeyap,https://portal.incorp.asia/myportal/CRMModule/frmCRMMain,Corporate Secretary,CRM Module
28/5/2024 4:22:13 PM,wqkhku1dmj4bppunzcl0iun5,Puiyeeyap,https://portal.incorp.asia/myportal/CRMModule/frmCRMMain,Corporate Secretary,CRM Module
28/5/2024 4:22:16 PM,wqkhku1dmj4bppunzcl0iun5,Puiyeeyap,https://portal.incorp.asia/myportal/CRMModule/frmCRMMain,Corporate Secretary,CRM Module
28/5/2024 4:22:18 PM,wqkhku1dmj4bppunzcl0iun5,Puiyeeyap,https://portal.incorp.asia/myportal/CRMModule/frmCRMMain,Corporate Secretary,CRM Module
29/5/2024 10:13:17 AM,zqwzbzllwfwywxvjgtflev2d,Puiyeeyap,https://portal.incorp.asia/myportal/EmailHelpdesk/frmEhpdDashboardTickets,DashBoard,Dashboard
29/5/2024 10:13:28 AM,zqwzbzllwfwywxvjgtflev2d,Puiyeeyap,https://portal.incorp.asia/myportal/EmailHelpdesk/frmEhpdDashboardTickets/GetStaffName,DashBoard,Dashboard
29/5/2024 3:41:58 PM,zqwzbzllwfwywxvjgtflev2d,Puiyeeyap,https://portal.incorp.asia/myportal/CompanyModule/frmCmpCompanyDirectory,Corporate Secretary,Company Details
29/5/2024 3:42:02 PM,zqwzbzllwfwywxvjgtflev2d,Puiyeeyap,https://portal.incorp.asia/myportal/CompanyModule/frmCmpCompanyDirectory,Corporate Secretary,Company Details
29/5/2024 3:42:05 PM,zqwzbzllwfwywxvjgtflev2d,Puiyeeyap,https://portal.incorp.asia/myportal/CompanyModule/frmCmpCompanyDirectory,Corporate Secretary,Company Details
29/5/2024 3:57:28 PM,zqwzbzllwfwywxvjgtflev2d,Puiyeeyap,https://portal.incorp.asia/myportal/CompanyModule/frmCmpCompanyDirectory,Corporate Secretary,Company Details
29/5/2024 3:57:31 PM,zqwzbzllwfwywxvjgtflev2d,Puiyeeyap,https://portal.incorp.asia/myportal/CompanyModule/frmCmpCompanyDirectory,Corporate Secretary,Company Details
29/5/2024 4:22:33 PM,zqwzbzllwfwywxvjgtflev2d,Puiyeeyap,https://portal.incorp.asia/myportal/CRMModule/frmCRMMain,Corporate Secretary,CRM Module
29/5/2024 4:22:36 PM,zqwzbzllwfwywxvjgtflev2d,Puiyeeyap,https://portal.incorp.asia/myportal/CRMModule/frmCRMMain,Corporate Secretary,CRM Module
29/5/2024 4:22:38 PM,zqwzbzllwfwywxvjgtflev2d,Puiyeeyap,https://portal.incorp.asia/myportal/CRMModule/frmCRMMain,Corporate Secretary,CRM Module
29/5/2024 4:22:38 PM,zqwzbzllwfwywxvjgtflev2d,Puiyeeyap,https://portal.incorp.asia/myportal/CRMModule/frmCRMMain,Corporate Secretary,CRM Module
29/5/2024 4:22:40 PM,zqwzbzllwfwywxvjgtflev2d,Puiyeeyap,https://portal.incorp.asia/myportal/CRMModule/frmCRMMain,Corporate Secretary,CRM Module
29/5/2024 4:22:41 PM,zqwzbzllwfwywxvjgtflev2d,Puiyeeyap,https://portal.incorp.asia/myportal/CRMModule/frmCRMMain,Corporate Secretary,CRM Module
29/5/2024 4:24:17 PM,zqwzbzllwfwywxvjgtflev2d,Puiyeeyap,https://portal.incorp.asia/myportal/CRMModule/frmCRMMain,Corporate Secretary,CRM Module
29/5/2024 4:24:33 PM,zqwzbzllwfwywxvjgtflev2d,Puiyeeyap,https://portal.incorp.asia/myportal/CRMModule/frmCRMMain,Corporate Secretary,CRM Module
30/5/2024 11:06:26 AM,jbqzzzwwgisuziaxjfuk1jjd,Puiyeeyap,https://portal.incorp.asia/myportal/EmailHelpdesk/frmEhpdDashboardTickets,DashBoard,Dashboard
30/5/2024 11:06:31 AM,jbqzzzwwgisuziaxjfuk1jjd,Puiyeeyap,https://portal.incorp.asia/myportal/EmailHelpdesk/frmEhpdDashboardTickets/GetStaffName,DashBoard,Dashboard
30/5/2024 11:06:38 AM,jbqzzzwwgisuziaxjfuk1jjd,Puiyeeyap,https://portal.incorp.asia/myportal/CRMModule/frmCRMMain,Corporate Secretary,CRM Module
30/5/2024 11:06:41 AM,jbqzzzwwgisuziaxjfuk1jjd,Puiyeeyap,https://portal.incorp.asia/myportal/CRMModule/frmCRMMain,Corporate Secretary,CRM Module
30/5/2024 11:06:43 AM,jbqzzzwwgisuziaxjfuk1jjd,Puiyeeyap,https://portal.incorp.asia/myportal/CRMModule/frmCRMMain,Corporate Secretary,CRM Module
30/5/2024 11:06:44 AM,jbqzzzwwgisuziaxjfuk1jjd,Puiyeeyap,https://portal.incorp.asia/myportal/CRMModule/frmCRMMain,Corporate Secretary,CRM Module
30/5/2024 1:01:39 PM,jbqzzzwwgisuziaxjfuk1jjd,Puiyeeyap,https://portal.incorp.asia/myportal/CompanyModule/frmCmpCompanyDirectory,Corporate Secretary,Company Details
30/5/2024 1:01:45 PM,jbqzzzwwgisuziaxjfuk1jjd,Puiyeeyap,https://portal.incorp.asia/myportal/CompanyModule/frmCmpCompanyDirectory,Corporate Secretary,Company Details
30/5/2024 1:31:13 PM,jbqzzzwwgisuziaxjfuk1jjd,Puiyeeyap,https://portal.incorp.asia/myportal/CRMModule/frmCRMMain,Corporate Secretary,CRM Module
30/5/2024 1:31:15 PM,jbqzzzwwgisuziaxjfuk1jjd,Puiyeeyap,https://portal.incorp.asia/myportal/CRMModule/frmCRMMain,Corporate Secretary,CRM Module
30/5/2024 1:31:17 PM,jbqzzzwwgisuziaxjfuk1jjd,Puiyeeyap,https://portal.incorp.asia/myportal/CRMModule/frmCRMMain,Corporate Secretary,CRM Module
30/5/2024 1:31:17 PM,jbqzzzwwgisuziaxjfuk1jjd,Puiyeeyap,https://portal.incorp.asia/myportal/CRMModule/frmCRMMain,Corporate Secretary,CRM Module
30/5/2024 1:31:18 PM,jbqzzzwwgisuziaxjfuk1jjd,Puiyeeyap,https://portal.incorp.asia/myportal/CRMModule/frmCRMMain,Corporate Secretary,CRM Module
30/5/2024 1:31:18 PM,jbqzzzwwgisuziaxjfuk1jjd,Puiyeeyap,https://portal.incorp.asia/myportal/CRMModule/frmCRMMain,Corporate Secretary,CRM Module
