Timestamp,SessionId,UserName, AbsoluteUrl,Menu,Submenu
31/5/2024 9:23:03 PM,gyycodiahwvdl1qsrkimw4wo,Vinay.Terse,https://portal.incorp.asia/myportal/EmailHelpdesk/frmEhpdDashboardTickets,DashBoard,Dashboard
31/5/2024 9:23:21 PM,gyycodiahwvdl1qsrkimw4wo,Vinay.Terse,https://portal.incorp.asia/myportal/EmailHelpdesk/frmEhpdDashboardTickets/GetStaffName,DashBoard,Dashboard
31/5/2024 9:25:04 PM,gyycodiahwvdl1qsrkimw4wo,Vinay.Terse,https://portal.incorp.asia/myportal/MYOB/frmMyobStatementOfAccount,Credit Control,Statement of Accounts
31/5/2024 9:25:26 PM,gyycodiahwvdl1qsrkimw4wo,Vinay.Terse,https://portal.incorp.asia/myportal/MYOB/frmMyobStatementOfAccount,Credit Control,Statement of Accounts
31/5/2024 9:25:29 PM,gyycodiahwvdl1qsrkimw4wo,Vinay.Terse,https://portal.incorp.asia/myportal/MYOB/frmMyobStatementOfAccount,Credit Control,Statement of Accounts
31/5/2024 9:25:31 PM,gyycodiahwvdl1qsrkimw4wo,Vinay.Terse,https://portal.incorp.asia/myportal/MYOB/frmMyobStatementOfAccount,Credit Control,Statement of Accounts
31/5/2024 9:31:38 PM,gyycodiahwvdl1qsrkimw4wo,Vinay.Terse,https://portal.incorp.asia/myportal/MYOB/frmMyobStatementOfAccount,Credit Control,Statement of Accounts
31/5/2024 9:33:02 PM,gyycodiahwvdl1qsrkimw4wo,Vinay.Terse,https://portal.incorp.asia/myportal/MYOB/frmMyobStatementOfAccount,Credit Control,Statement of Accounts
31/5/2024 9:33:05 PM,gyycodiahwvdl1qsrkimw4wo,Vinay.Terse,https://portal.incorp.asia/myportal/MYOB/frmMyobStatementOfAccount,Credit Control,Statement of Accounts
31/5/2024 9:37:01 PM,gyycodiahwvdl1qsrkimw4wo,Vinay.Terse,https://portal.incorp.asia/myportal/MYOB/frmMyobStatementOfAccount,Credit Control,Statement of Accounts
31/5/2024 9:37:03 PM,gyycodiahwvdl1qsrkimw4wo,Vinay.Terse,https://portal.incorp.asia/myportal/MYOB/frmMyobStatementOfAccount,Credit Control,Statement of Accounts
31/5/2024 9:37:04 PM,gyycodiahwvdl1qsrkimw4wo,Vinay.Terse,https://portal.incorp.asia/myportal/MYOB/frmMyobStatementOfAccount,Credit Control,Statement of Accounts
